,z,theta,Bonds
0,-23.80,018,0
1,-23.80,054,0
2,-23.80,090,0
3,-23.80,126,0
4,-23.80,162,4
5,-23.80,198,0
6,-23.80,234,0
7,-23.80,270,0
8,-23.80,306,0
9,-23.80,342,0
10,-17.00,018,0
11,-17.00,054,0
12,-17.00,090,0
13,-17.00,126,0
14,-17.00,162,0
15,-17.00,198,66
16,-17.00,234,0
17,-17.00,270,0
18,-17.00,306,0
19,-17.00,342,0
20,-10.20,018,0
21,-10.20,054,0
22,-10.20,090,0
23,-10.20,126,0
24,-10.20,162,0
25,-10.20,198,0
26,-10.20,234,0
27,-10.20,270,0
28,-10.20,306,0
29,-10.20,342,0
30,-3.40,018,0
31,-3.40,054,0
32,-3.40,090,0
33,-3.40,126,0
34,-3.40,162,0
35,-3.40,198,51
36,-3.40,234,0
37,-3.40,270,0
38,-3.40,306,0
39,-3.40,342,0
40,03.40,018,0
41,03.40,054,0
42,03.40,090,0
43,03.40,126,0
44,03.40,162,0
45,03.40,198,0
46,03.40,234,0
47,03.40,270,0
48,03.40,306,0
49,03.40,342,0
50,10.20,018,0
51,10.20,054,0
52,10.20,090,0
53,10.20,126,0
54,10.20,162,0
55,10.20,198,0
56,10.20,234,0
57,10.20,270,0
58,10.20,306,0
59,10.20,342,0
60,17.00,018,0
61,17.00,054,0
62,17.00,090,0
63,17.00,126,0
64,17.00,162,0
65,17.00,198,0
66,17.00,234,0
67,17.00,270,0
68,17.00,306,0
69,17.00,342,0
70,23.80,018,2
71,23.80,054,6
72,23.80,090,0
73,23.80,126,0
74,23.80,162,0
75,23.80,198,0
76,23.80,234,0
77,23.80,270,0
78,23.80,306,0
79,23.80,342,0
